idNode;index;label;level;mass;type;role;pointCount;contourLength1;contourLength2;subtreeCost;tsvNorm;refGraph
170;4;9;4;1;101;4;34;0;0;1;0;9
200;5;10;4;11;101;2;7;0;0;5;4.65369253920931;9
205;6;11;5;5;101;2;26;0;0;3;2.82842712474619;9
221;7;12;6;1;101;4;63;0;0;1;0;9
252;8;13;6;1;101;4;76;0;0;1;0;9
303;9;14;5;1;101;4;100;0;0;1;0;9
375;10;15;3;1;101;4;112;0;0;1;0;9
431;11;16;2;1;101;4;117;0;0;1;0;9
493;21;17;2;1;101;4;119;0;0;1;0;9
547;20;18;3;1;101;4;120;0;0;1;0;9
598;19;19;4;1;101;4;113;0;0;1;0;9
644;18;20;5;1;101;4;43;0;0;1;0;9
663;17;21;6;1;101;4;86;0;0;1;0;9
711;0;#;0;103;105;1;0;0;0;22;9.52944909385314;9
36;7;1;3;1;101;4;98;0;0;1;0;10
78;8;2;3;1;101;4;96;0;0;1;0;10
139;6;3;2;5;101;2;17;0;0;3;2.82842712474619;10
157;1;4;1;78;104;2;6;0;0;23;13.2566539901473;10
164;2;5;2;5;101;2;15;0;0;3;2.82842712474619;10
171;3;6;3;1;101;4;92;0;0;1;0;10
230;4;7;3;1;101;4;96;0;0;1;0;10
291;5;8;2;1;101;4;94;0;0;1;0;10
359;9;9;2;33;103;2;7;0;0;10;5.94110525101641;10
366;10;10;3;22;101;2;7;0;0;8;5.42767262884443;10
370;11;11;4;11;101;2;3;0;0;5;3.74165738677394;10
372;13;12;6;1;101;4;25;0;0;1;0;10
379;12;13;5;3;101;2;59;0;0;2;1;10
409;15;14;6;1;101;4;25;0;0;1;0;10
427;14;15;5;3;101;2;80;0;0;2;1;10
467;17;16;5;1;101;4;27;0;0;1;0;10
488;16;17;4;3;101;2;90;0;0;2;1;10
526;18;18;3;1;101;4;118;0;0;1;0;10
578;19;19;2;11;101;2;14;0;0;5;4.65369253920931;10
587;20;20;3;1;101;4;103;0;0;1;0;10
631;21;21;3;5;101;2;28;0;0;3;2.82842712474619;10
639;22;22;4;1;101;4;72;0;0;1;0;10
673;23;23;4;1;101;4;77;0;0;1;0;10
715;0;#;0;102;105;1;0;0;0;24;11.614126328273;10
41;9;1;3;1;101;4;87;0;0;1;0;11
81;8;2;2;5;101;2;49;0;0;3;2.82842712474619;11
101;2;3;2;5;101;2;56;0;0;3;2.82842712474619;11
143;3;4;3;1;101;4;87;0;0;1;0;11
212;4;5;3;1;101;4;76;0;0;1;0;11
250;5;6;2;5;101;2;34;0;0;3;2.82842712474619;11
274;6;7;3;1;101;4;89;0;0;1;0;11
329;7;8;3;1;101;4;89;0;0;1;0;11
383;10;9;3;1;101;4;84;0;0;1;0;11
434;1;10;1;25;104;2;1;0;0;10;7.65827073435469;11
435;0;#;0;36;105;1;0;0;0;11;6.34782340268994;11
42;27;1;3;1;101;4;81;0;0;1;0;12
83;28;2;3;1;101;4;80;0;0;1;0;12
132;26;3;2;5;101;2;21;0;0;3;2.82842712474619;12
153;17;4;2;29;101;2;9;0;0;9;5.96652786000311;12
162;18;5;3;19;101;2;28;0;0;7;5.52395992228424;12
180;19;6;4;11;101;2;3;0;0;5;4.65369253920931;12
183;20;7;5;5;101;2;5;0;0;3;2.82842712474619;12
187;21;8;6;1;101;4;74;0;0;1;0;12
233;22;9;6;1;101;4;76;0;0;1;0;12
286;23;10;5;1;101;4;87;0;0;1;0;12
335;24;11;4;1;101;4;81;0;0;1;0;12
386;25;12;3;1;101;4;85;0;0;1;0;12
439;1;13;1;106;104;2;4;0;0;28;12.1699409153087;12
440;2;14;2;11;101;2;15;0;0;5;4.65369253920931;12
447;3;15;3;5;101;2;11;0;0;3;2.82842712474619;12
451;4;16;4;1;101;4;81;0;0;1;0;12
495;5;17;4;1;101;4;80;0;0;1;0;12
533;6;18;3;1;101;4;90;0;0;1;0;12
